author_name,quote_text,quote_furigana,category_name
ブレーズ・パスカル,心には理性では理解できない理屈がある。,こころにはりせいではりかいできないりくつがある。,愛
ブレーズ・パスカル,愛は理性を超える力を持っている。,あいはりせいをこえるちからをもっている。,愛
ブレーズ・パスカル,人間は考える葦であるが、愛する葦でもある。,にんげんはかんがえるあしであるが、あいするあしでもある。,哲学
ブレーズ・パスカル,神への愛と人間愛は同じ源から流れている。,かみへのあいとにんげんあいはおなじみなもとからながれている。,信仰
ブレーズ・パスカル,愛こそが人間の本質である。,あいこそがにんげんのほんしつである。,愛
ブレーズ・パスカル,数学は神の言語であり、愛は神の心である。,すうがくはかみのげんごであり、あいはかみのこころである。,科学
ブレーズ・パスカル,理性的思考と愛情は対立するものではない。,りせいてきしこうとあいじょうはたいりつするものではない。,哲学
ブレーズ・パスカル,愛の非合理性こそが人間らしさを示している。,あいのひごうりせいこそがにんげんらしさをしめしている。,愛
ブレーズ・パスカル,真理への愛が科学を進歩させる。,しんりへのあいがかがくをしんぽさせる。,進歩
ブレーズ・パスカル,感情と理性の調和が真の知恵を生む。,かんじょうとりせいのちょうわがしんのちえをうむ。,知識
ブレーズ・パスカル,愛は証明できないが、確実に存在する。,あいはしょうめいできないが、かくじつにそんざいする。,愛
ブレーズ・パスカル,人間の偉大さは愛する能力にある。,にんげんのいだいさはあいするのうりょくにある。,哲学
ブレーズ・パスカル,愛は魂の数学である。,あいはたましいのすうがくである。,魂
ブレーズ・パスカル,科学者も愛なしには真理を発見できない。,かがくしゃもあいなしにはしんりをはっけんできない。,科学
ブレーズ・パスカル,愛は最も確実な賭けである。,あいはもっともかくじつなかけである。,信仰
ブレーズ・パスカル,思考は有限だが、愛は無限である。,しこうはゆうげんだが、あいはむげんである。,哲学
ブレーズ・パスカル,愛によって人は神に近づくことができる。,あいによってひとはかみにちかづくことができる。,信仰
ジャン=ジャック・ルソー,愛は教育の最も重要な要素である。,あいはきょういくのもっともじゅうようなようそである。,学び
ジャン=ジャック・ルソー,心の声に従いなさい。,こころのこえにしたがいなさい。,愛
ジャン=ジャック・ルソー,自然な感情としての愛を大切にしなさい。,しぜんなかんじょうとしてのあいをたいせつにしなさい。,自然
ジャン=ジャック・ルソー,人間は生まれながらにして善良であり、愛を知っている。,にんげんはうまれながらにしてぜんりょうであり、あいをしっている。,哲学
ジャン=ジャック・ルソー,情熱的な愛と理性的な愛は時として対立する。,じょうねつてきなあいとりせいてきなあいはときとしてたいりつする。,愛
ジャン=ジャック・ルソー,教育は愛なしには成り立たない。,きょういくはあいなしにはなりたたない。,学び
ジャン=ジャック・ルソー,文明は愛を複雑にするが、本質は変わらない。,ぶんめいはあいをふくざつにするが、ほんしつはかわらない。,愛
ジャン=ジャック・ルソー,子どもの心に愛を育てることが最良の教育である。,こどものこころにあいをそだてることがさいりょうのきょういくである。,家族
ジャン=ジャック・ルソー,愛は社会契約の基礎である。,あいはしゃかいけいやくのきそである。,哲学
ジャン=ジャック・ルソー,自然に帰れば、純粋な愛を発見できる。,しぜんにかえれば、じゅんすいなあいをはっけんできる。,自然
ジャン=ジャック・ルソー,愛は人間の自由を真に実現する。,あいはにんげんのじゆうをしんにじつげんする。,哲学
ジャン=ジャック・ルソー,良心は愛によって形成される。,りょうしんはあいによってけいせいされる。,学び
ジャン=ジャック・ルソー,愛は偽りの社会的仮面を取り除く。,あいはいつわりのしゃかいてきかめんをとりのぞく。,愛
ジャン=ジャック・ルソー,母性愛は人間愛の原型である。,ぼせいあいはにんげんあいのげんけいである。,家族
ジャン=ジャック・ルソー,愛は平等な関係の中でのみ真に美しい。,あいはびょうどうなかんけいのなかでのみしんにうつくしい。,愛
ジャン=ジャック・ルソー,感情の教育こそが真の人間教育である。,かんじょうのきょういくこそがしんのにんげんきょういくである。,学び
ジャン=ジャック・ルソー,愛は理性を豊かにし、理性は愛を深める。,あいはりせいをゆたかにし、りせいはあいをふかめる。,哲学
イマヌエル・カント,愛は義務ではなく、しかし義務は愛によって美しくなる。,あいはぎむではなく、しかしぎむはあいによってうつくしくなる。,愛
イマヌエル・カント,他人を手段としてではなく、目的として扱いなさい。,たにんをしゅだんとしてではなく、もくてきとしてあつかいなさい。,愛
イマヌエル・カント,愛は感情であり命令できないが、愛の行為は義務として実践できる。,あいはかんじょうでありめいれいできないが、あいのこういはぎむとしてじっせんできる。,愛
イマヌエル・カント,道徳的な愛は理性に基づいている。,どうとくてきなあいはりせいにもとづいている。,哲学
イマヌエル・カント,人格の尊厳は愛によって最もよく示される。,じんかくのそんげんはあいによってもっともよくしめされる。,愛
イマヌエル・カント,愛は自由な意志の表現である。,あいはじゆうないしのひょうげんである。,愛
イマヌエル・カント,実践理性は愛の領域で最も重要である。,じっせんりせいはあいのりょういきでもっともじゅうようである。,哲学
イマヌエル・カント,愛は道徳法則を美しく装飾する。,あいはどうとくほうそくをうつくしくそうしょくする。,愛
イマヌエル・カント,純粋な愛は利己心を超越する。,じゅんすいなあいはりこしんをちょうえつする。,愛
イマヌエル・カント,愛の義務は理性的存在者の特権である。,あいのぎむはりせいてきそんざいしゃのとっけんである。,哲学
イマヌエル・カント,人権思想は愛の実践から生まれる。,じんけんしそうはあいのじっせんからうまれる。,哲学
イマヌエル・カント,愛は感性と理性の架け橋である。,あいはかんせいとりせいのかけはしである。,愛
イマヌエル・カント,愛なき道徳は冷たく、道徳なき愛は盲目である。,あいなきどうとくはつめたく、どうとくなきあいはもうもくである。,哲学
イマヌエル・カント,愛は人間の尊厳を守る最強の武器である。,あいはにんげんのそんげんをまもるさいきょうのぶきである。,愛
イマヌエル・カント,愛の実践は理性的判断力を必要とする。,あいのじっせんはりせいてきはんだんりょくをひつようとする。,愛
イマヌエル・カント,愛は普遍的な道徳法則の源泉である。,あいはふへんてきなどうとくほうそくのげんせんである。,哲学
