author_name,quote_text,quote_furigana,category_name
蓮如,仏法は聞くが肝心なり、聞いて信じ、信じて行ずることが大切である。,ぶっぽうはきくがかんじんなり、きいてしんじ、しんじてぎょうずることがたいせつである。,信仰
蓮如,信心は一つなり、されど人それぞれの心の器によって受け取り方が異なるものである。,しんじんはひとつなり、されどひとそれぞれのこころのうつわによってうけとりかたがことなるものである。,教え
蓮如,念仏は口だけでなく、心から称えてこそ真の功徳があるのです。,ねんぶつはくちだけでなく、こころからとなえてこそしんのくどくがあるのです。,祈り
蓮如,人の心は移ろいやすいものですが、仏の慈悲は永遠に変わることがありません。,ひとのこころはうつろいやすいものですが、ほとけのじひはえいえんにかわることがありません。,哲学
蓮如,困難な時こそ、仏の教えに耳を傾け、心の平安を見つけることができます。,こんなんなときこそ、ほとけのおしえにみみをかたむけ、こころのへいあんをみつけることができます。,逆境
蓮如,真の幸せは外にあるのではなく、仏法に帰依した心の中にあるのです。,しんのしあわせはそとにあるのではなく、ぶっぽうにきえしたこころのなかにあるのです。,幸福
蓮如,学ぶことに年齢は関係ありません、仏の教えを求める心があれば十分です。,まなぶことにねんれいはかんけいありません、ほとけのおしえをもとめるこころがあればじゅうぶんです。,学び
蓮如,他者に教えを伝える時は、その人の立場に立って分かりやすい言葉を使いなさい。,たしゃにおしえをつたえるときは、そのひとのたちばにたってわかりやすいことばをつかいなさい。,リーダーシップ
蓮如,感謝の心を忘れずにいれば、どんな小さなことにも喜びを見いだせるでしょう。,かんしゃのこころをわすれずにいれば、どんなちいさなことにもよろこびをみいだせるでしょう。,感謝
蓮如,家族とは血のつながりだけでなく、同じ信仰を分かち合う深い絆でもあります。,かぞくとはちのつながりだけでなく、おなじしんこうをわかちあうふかいきずなでもあります。,家族
蓮如,人と人とのつながりは、互いを思いやる慈悲の心から生まれるものです。,ひととひととのつながりは、たがいをおもいやるじひのこころからうまれるものです。,絆
蓮如,争いを避け、和を重んじることが共に歩む道の始まりです。,あらそいをさけ、わをおもんじることがともにあゆむみちのはじまりです。,調和
蓮如,心の迷いを晴らすには、静かに座して自分の内なる声に耳を傾けることです。,こころのまよいをはらすには、しずかにざしてじぶんのうちなるこえにみみをかたむけることです。,魂
蓮如,真の成功とは、多くの人を救うことができる力を身につけることです。,しんのせいこうとは、おおくのひとをすくうことができるちからをみにつけることです。,成功
蓮如,希望を失わずにいれば、必ず光明が見えてくる時が来るでしょう。,きぼうをうしなわずにいれば、かならずこうみょうがみえてくるときがくるでしょう。,希望
蓮如,信頼は一朝一夕には築けませんが、誠実な行いの積み重ねから生まれます。,しんらいはいっちょういっせきにはきずけませんが、せいじつなおこないのつみかさねからうまれます。,信頼
蓮如,生きとし生けるものすべてに仏性があることを忘れてはいけません。,いきとしいけるものすべてにぶっしょうがあることをわすれてはいけません。,生命
清沢満之,宗教は人生の究極の問題であり、それに向き合うことで真の自己が見えてきます。,しゅうきょうはじんせいのきゅうきょくのもんだいであり、それにむきあうことでしんのじこがみえてきます。,哲学
清沢満之,他力本願とは決して他人任せではなく、絶対なるものへの完全な信頼なのです。,たりきほんがんとはけっしてたにんまかせではなく、ぜったいなるものへのかんぜんなしんらいなのです。,信仰
