author_name,quote_text,quote_furigana,category_name
孔子,学びて時にこれを習う、また悦ばしからずや。,まなびてときにこれをならう、またよろこばしからずや。,学び
孔子,知者は惑わず、仁者は憂えず、勇者は恐れず。,ちしゃはまどわず、じんしゃはうれえず、ゆうしゃはおそれず。,哲学
孔子,過ちて改めざる、これを過ちという。,あやまちてあらためざる、これをあやまちという。,成功
孔子,君子は言を訥にして行いを敏にす。,くんしはげんをとつにしておこないをびんにす。,リーダーシップ
孔子,三人行けば必ず我が師あり。,さんにんゆけばかならずわがしあり。,学び
孔子,人の己を知らざることを患えずして、人を知らざることを患えよ。,ひとのおのれをしらざることをうれえずして、ひとをしらざることをうれえよ。,信頼
孔子,仁者は山を好み、知者は水を好む。,じんしゃはやまをこのみ、ちしゃはみずをこのむ。,自然
孔子,己の欲せざる所、人に施すことなかれ。,おのれのほっせざるところ、ひとにほどこすことなかれ。,愛
孔子,朝に道を聞かば、夕べに死すとも可なり。,あしたにみちをきかば、ゆうべにしすともかなり。,知識
孔子,温故知新。,おんこちしん。,進歩
孔子,君子は義に喩り、小人は利に喩る。,くんしはぎにさとり、しょうじんはりにさとる。,リーダーシップ
孔子,人の生くるや直し。,ひとのいくるやなおし。,哲学
孔子,父母ありて、遠く遊ぶことなかれ。,ふぼありて、とおくあそぶことなかれ。,家族
孔子,歳寒くして然る後に松柏の凋むに後るることを知る。,さいさむくしてしかるのちにしょうはくのしぼむにおくるることをしる。,忍耐
孔子,学びて思わざれば則ち罔し、思いて学ばざれば則ち殆し。,まなびておもわざればすなわちくらし、おもいてまなばざればすなわちあやうし。,教養
孔子,君子は器ならず。,くんしはうつわならず。,創造性
孔子,中庸の徳たるや、それ至れるかな。,ちゅうようのとくたるや、それいたれるかな。,調和
孫子,彼を知り己を知れば百戦殆うからず。,かれをしりおのれをしればひゃくせんあやうからず。,目標設定
孫子,戦わずして人の兵を屈するは善の善なる者なり。,たたかわずしてひとのへいをくっするはぜんのぜんなるものなり。,リーダーシップ
孫子,兵は国の大事なり。,へいはくにのたいじなり。,挑戦
孫子,兵は拙速を聞くも、未だ巧の久しきを睹ざるなり。,へいはせっそくをきくも、いまだこうのひさしきをみざるなり。,効率化
孫子,敵を知り己を知れば百戦して殆うからず。,てきをしりおのれをしればひゃくせんしてあやうからず。,勝利
