author_name,quote_text,quote_furigana,category_name
ヘレン・ケラー,人生は勇敢な冒険か、無かのどちらかです。,じんせいはゆうかんなぼうけんか、むかのどちらかです。,挑戦
ヘレン・ケラー,最も美しいものは目に見えず、手で触れることもできません。心で感じなければならないのです。,もっともうつくしいものはめにみえず、てでふれることもできません。こころでかんじなければならないのです。,哲学
ヘレン・ケラー,世界で最も素晴らしく、最も美しいものは、見ることも触れることもできません。それは、心で感じるものなのです。,せかいでもっともすばらしく、もっともうつくしいものは、みることもふれることもできません。それは、こころでかんじるものなのです。,幸福
ヘレン・ケラー,安全は、ほとんどの場合、迷信です。自然の中に安全はなく、人間の子どもたちも、全体として安全ではありません。,あんぜんは、ほとんどのばあい、めいしんです。しぜんのなかにあんぜんはなく、にんげんのこどもたちも、ぜんたいとしてあんぜんではありません。,逆境
ヘレン・ケラー,私の人生は暗闇に包まれていましたが、あなたが光をもたらしてくれました。,わたしのじんせいはくらやみにつつまれていましたが、あなたがひかりをもたらしてくれました。,感謝
ヘレン・ケラー,楽観主義は、希望へと導く信念です。希望なしには何も成し遂げられません。,らっかんしゅぎは、きぼうへとみちびくしんねんです。きぼうなしにはなにもなしとげられません。,希望
ヘレン・ケラー,私は一人の人間として扱われることを望んでいます。同情されることは望んでいません。,わたしはひとりのにんげんとしてあつかわれることをのぞんでいます。どうじょうされることはのぞんでいません。,信頼
ヘレン・ケラー,顔をいつも太陽のほうに向けていて。影なんて見ていることはないわ。,かおをいつもたいようのほうにむけていて。かげなんてみていることはないわ。,幸福
ヘレン・ケラー,知識は愛と光と洞察力を与えてくれます。,ちしきはあいとひかりとどうさつりょくをあたえてくれます。,知識
ヘレン・ケラー,大きな問題に直面したとき、私はそれを小さなピースに分けて、一つずつ解決していきます。,おおきなもんだいにちょくめんしたとき、わたしはそれをちいさなぴーすにわけて、ひとつずつかいけつしていきます。,目標設定
ヘレン・ケラー,自分一人で石を持ち上げるつもりでいるが、誰かがほんの少し手を貸してくれるだけで、それは持ち上がるのです。,じぶんひとりでいしをもちあげるつもりでいるが、だれかがほんのすこしてをかしてくれるだけで、それはもちあがるのです。,友情
ヘレン・ケラー,私たちが進歩するのを妨げるのは、障害ではなく、私たちの心の扉です。,わたしたちがしんぽするのをさまたげるのは、しょうがいではなく、わたしたちのこころのとびらです。,進歩
ヘレン・ケラー,諦めることは恥ではありません。諦めないことこそが美徳なのです。,あきらめることははじではありません。あきらめないことこそがびとくなのです。,忍耐
ヘレン・ケラー,私は自分の限界を嘆いたことは一度もありません。むしろ、与えられたものに感謝しています。,わたしはじぶんのげんかいをなげいたことはいちどもありません。むしろ、あたえられたものにかんしゃしています。,感謝
ヘレン・ケラー,私の力の源は、愛する人たちへの責任感です。,わたしのちからのみなもとは、あいするひとたちへのせきにんかんです。,愛
ヘレン・ケラー,真の幸福は、内なる平和から生まれます。,しんのこうふくは、うちなるへいわからうまれます。,幸福
ヘレン・ケラー,歩くことを学ぶときのように、失敗は成功への道のりの一部です。,あるくことをまなぶときのように、しっぱいはせいこうへのみちのりのいちぶです。,学び
ヘレン・ケラー,一つの扉が閉まれば、必ず別の扉が開きます。,ひとつのとびらがしまれば、かならずべつのとびらがひらきます。,希望
ジャッキー・ロビンソン,人生は挑戦の連続だ。それを受け入れ、ベストを尽くすことが大切だ。,じんせいはちょうせんのれんぞくだ。それをうけいれ、べすとをつくすことがたいせつだ。,挑戦
ジャッキー・ロビンソン,私は後悔していない。誰かがやらなければならないことだった。,わたしはこうかいしていない。だれかがやらなければならないことだった。,リーダーシップ
ジャッキー・ロビンソン,野球選手としてより、人間として記憶されたい。,やきゅうせんしゅとしてより、にんげんとしてきおくされたい。,勝利
ジャッキー・ロビンソン,憎しみは心を蝕むが、愛は心を強くする。,にくしみはこころをむしばむが、あいはこころをつよくする。,愛
ジャッキー・ロビンソン,成功とは、自分の信念に従って生きることです。,せいこうとは、じぶんのしんねんにしたがっていきることです。,成功
ジャッキー・ロビンソン,尊厳を保つことは、何よりも重要だ。,そんげんをたもつことは、なによりもじゅうようだ。,信頼
ジャッキー・ロビンソン,チームワークなしに勝利はありません。,ちーむわーくなしにしょうりはありません。,チームワーク
ジャッキー・ロビンソン,目標を設定し、それに向かって努力し続けることが成功の秘訣です。,もくひょうをせっていし、それにむかってどりょくしつづけることがせいこうのひけつです。,目標設定
ジャッキー・ロビンソン,困難に立ち向かう勇気こそが、真の強さを示すのです。,こんなんにたちむかうゆうきこそが、しんのつよさをしめすのです。,逆境
ジャッキー・ロビンソン,忍耐は力です。時には待つことも戦うことと同じくらい勇気が必要です。,にんたいはちからです。ときにはまつこともたたかうこととおなじくらいゆうきがひつようです。,忍耐
ジャッキー・ロビンソン,努力は決して裏切らない。正しい方向への努力は必ず報われる。,どりょくはけっしてうらぎらない。ただしいほうこうへのどりょくはかならずむくわれる。,努力
ジャッキー・ロビンソン,真の勝利は、スコアボードに表示される数字ではありません。,しんのしょうりは、すこあぼーどにひょうじされるすうじではありません。,勝利
